date,daily_max_sust_knots,daily_mean_sust_knots,daily_min_press_hpa,precip_mm,daily_mean_tmpf_F,WVHT_mean
2017-01-01,14.0,3.7,1012.1,6.6,40.435,3.296875
2017-01-02,21.0,7.666666666666667,1011.8,9.1,37.87567567567568,5.108125
2017-01-03,12.0,4.552631578947368,1009.2,32.8,39.199999999999996,2.890625
2017-01-04,15.0,5.086956521739131,1005.5,0.8,43.52173913043478,1.5870833333333334
2017-01-05,8.0,3.4583333333333335,1016.8,0.0,36.24166666666667,1.2083333333333333
2017-01-06,7.0,4.125,1016.3,1.8,37.666666666666664,0.9035416666666666
2017-01-07,19.0,8.714285714285714,1002.3,14.0,49.57714285714286,1.529375
2017-01-08,19.0,12.025641025641026,999.8,22.4,57.93846153846154,2.288125
2017-01-09,20.0,8.777777777777779,1004.7,6.1,47.17777777777778,2.631666666666667
2017-01-10,28.0,13.955555555555556,999.2,34.8,53.23555555555556,3.6870833333333333
2017-01-11,18.0,9.236842105263158,999.2,15.2,47.82051282051282,3.6814583333333335
2017-01-12,11.0,4.34375,1012.3,0.0,41.3125,2.681875
2017-01-13,6.0,3.782608695652174,1017.1,0.0,39.29565217391304,1.858125
2017-01-14,5.0,2.888888888888889,1022.8,0.0,40.37777777777778,1.4214583333333335
2017-01-15,7.0,3.5,1021.0,0.0,42.607142857142854,1.31
2017-01-16,6.0,3.125,1019.3,0.0,41.375,2.1306249999999998
2017-01-17,8.0,3.3125,1014.9,1.3,44.15625,1.9702083333333336
2017-01-18,22.0,13.10344827586207,997.6,40.6,53.89655172413793,4.080208333333333
2017-01-19,21.0,9.390243902439025,1001.7,13.5,49.75609756097561,4.321041666666667
2017-01-20,19.0,10.55,987.7,29.5,46.225,4.644166666666667
2017-01-21,14.0,8.826923076923077,989.1,13.0,46.276923076923076,6.802708333333334
2017-01-22,23.0,12.241379310344827,995.9,21.1,46.793103448275865,5.359791666666666
2017-01-23,14.0,8.857142857142858,1002.8,4.6,43.785714285714285,4.93625
2017-01-24,8.0,3.2083333333333335,1007.4,0.0,42.291666666666664,4.593333333333333
2017-01-25,7.0,3.3703703703703702,1022.0,0.0,42.81481481481482,2.34
2017-01-26,9.0,3.7142857142857144,1027.1,0.0,45.642857142857146,3.467708333333333
2017-01-27,8.0,4.0,1032.6,0.0,44.0,3.3241666666666667
2017-01-28,7.0,3.0,1033.6,0.0,43.63076923076923,2.6462499999999998
2017-01-29,7.0,2.793103448275862,1030.4,0.0,42.55172413793103,2.9333333333333336
2017-01-30,5.0,2.6333333333333333,1022.9,0.0,42.3,2.5147916666666665
2017-01-31,5.0,2.4166666666666665,1018.2,0.0,44.375,1.6295833333333334
2017-02-01,5.0,3.375,1011.1,0.0,48.208333333333336,1.7214583333333333
2017-02-02,18.0,10.333333333333334,1007.9,10.4,57.0,2.3045833333333334
2017-02-03,24.0,12.166666666666666,1004.1,10.4,55.349999999999994,3.2156249999999997
2017-02-04,18.0,9.80327868852459,1007.9,6.9,51.954098360655735,3.1714583333333333
2017-02-05,22.0,9.703703703703704,999.0,15.5,53.629629629629626,2.1960416666666664
2017-02-06,17.0,8.033898305084746,998.4,11.2,48.23728813559322,2.4147826086956523
2017-02-07,27.0,12.595744680851064,995.6,13.0,52.88085106382979,2.5464583333333333
2017-02-08,15.0,7.454545454545454,1011.1,12.2,56.15151515151515,2.261458333333333
2017-02-09,22.0,14.142857142857142,1002.1,28.4,59.42857142857143,3.2935416666666666
2017-02-10,19.0,7.9375,1009.0,10.4,50.574999999999996,2.7091666666666665
2017-02-11,14.0,5.8076923076923075,1020.1,0.0,43.69230769230769,2.84625
2017-02-12,9.0,3.5483870967741935,1023.9,0.0,42.58709677419355,2.5683333333333334
2017-02-13,5.0,2.1923076923076925,1021.1,0.0,46.23076923076923,2.30375
2017-02-14,7.0,2.793103448275862,1017.3,0.0,47.41379310344828,1.5933333333333335
2017-02-15,16.0,6.416666666666667,1008.8,24.4,58.0,2.6297916666666667
2017-02-16,21.0,12.696969696969697,1002.4,19.6,53.61515151515152,3.89
2017-02-17,12.0,4.444444444444445,993.0,17.8,48.33888888888889,3.1927083333333335
2017-02-18,22.0,8.444444444444445,992.8,8.6,48.36,2.8891666666666667
2017-02-19,16.0,7.384615384615385,1002.0,13.2,49.17307692307692,2.7118749999999996
2017-02-20,22.0,8.4,1000.3,29.2,53.4,4.027083333333334
2017-02-21,25.0,9.38888888888889,1003.9,5.3,50.60740740740741,3.231875
2017-02-22,16.0,5.0,1022.5,17.8,43.755172413793105,2.9419148936170214
2017-02-23,12.0,3.6363636363636362,1024.7,5.3,37.96969696969697,2.1910416666666666
2017-02-24,13.0,5.0,1023.6,0.8,38.112500000000004,2.0241666666666664
2017-02-25,15.0,7.0,1019.8,3.6,42.83870967741935,1.9387234042553192
2017-02-26,17.0,6.195121951219512,1012.8,8.6,41.014634146341464,2.2912500000000002
2017-02-27,8.0,4.434782608695652,1012.2,7.6,41.96086956521739,3.2418750000000003
2017-02-28,7.0,3.2903225806451615,1016.9,1.8,43.23225806451613,2.8908510638297873
2017-03-01,17.0,5.5,1027.7,0.0,41.791666666666664,2.211521739130435
2017-03-02,16.0,5.0588235294117645,1028.9,0.0,45.57058823529412,2.2502083333333336
2017-03-03,13.0,3.033333333333333,1018.0,0.5,44.56666666666667,2.1710416666666665
2017-03-04,21.0,5.113207547169812,1008.5,19.8,47.407547169811316,1.8791666666666667
2017-03-05,17.0,9.690909090909091,1006.4,11.7,41.28,3.484166666666667
2017-03-06,13.0,8.222222222222221,1013.8,8.9,41.342222222222226,3.6766666666666663
2017-03-07,13.0,7.285714285714286,1023.6,6.1,46.66857142857143,2.236875
2017-03-08,11.0,6.433333333333334,1024.4,7.6,52.626666666666665,2.123125
2017-03-09,8.0,2.806122448979592,1024.1,3.0,53.46938775510204,1.8466666666666667
2017-03-10,11.0,2.896551724137931,1022.9,0.5,52.258620689655174,1.9377083333333334
2017-03-11,7.0,2.8983050847457625,1021.1,0.0,49.68135593220339,1.9814583333333333
2017-03-12,9.0,2.408450704225352,1023.9,0.0,50.028169014084504,1.1747916666666667
2017-03-13,8.0,2.22,1020.8,0.0,50.588,1.15375
2017-03-14,7.0,2.875,1017.6,0.0,52.705,1.3827083333333334
2017-03-15,12.0,3.445945945945946,1015.7,8.4,51.83513513513514,1.8062500000000001
2017-03-16,16.0,5.541666666666667,1018.5,0.0,51.729166666666664,1.75875
2017-03-17,9.0,2.909090909090909,1014.8,0.0,49.121212121212125,1.6623404255319147
2017-03-18,12.0,5.811320754716981,1013.2,29.5,56.46037735849057,1.9664583333333334
2017-03-19,10.0,3.425925925925926,1016.3,4.1,51.696296296296296,2.489375
2017-03-20,12.0,3.088888888888889,1007.6,15.0,54.653333333333336,1.905625
2017-03-21,18.0,9.416666666666666,1007.1,23.4,56.611111111111114,1.7033333333333334
2017-03-22,13.0,7.543478260869565,1009.5,1.8,50.94782608695652,2.3608333333333333
2017-03-23,20.0,6.166666666666667,1019.7,3.6,47.833333333333336,2.495416666666667
2017-03-24,19.0,11.15625,1011.6,25.1,50.81875,2.81125
2017-03-25,10.0,3.78,1020.3,7.1,50.5,2.6514583333333333
2017-03-26,18.0,8.096774193548388,1013.7,6.4,50.019354838709674,2.53531914893617
2017-03-27,16.0,4.8936170212765955,1016.6,4.6,49.51063829787234,2.2252083333333332
2017-03-28,11.0,4.346153846153846,1026.9,0.0,48.107692307692304,3.4924324324324325
